Date,Company,VADER Sentiment Score,FinBERT Sentiment Score,VADER Rolling Mean,VADER Volatility,FinBERT Rolling Mean,FinBERT Volatility
2023-01-10,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-11,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-12,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-13,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-16,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-17,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-18,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-19,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-20,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-23,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-24,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-25,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-27,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-30,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-01-31,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-01,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-02,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-03,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-06,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-07,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-08,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-09,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-10,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-13,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-14,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-15,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-16,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-17,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-20,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-21,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-22,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-23,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-24,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-27,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-02-28,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-01,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-02,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-03,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-06,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-08,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-09,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-10,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-13,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-14,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-15,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-16,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-17,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-20,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-21,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-22,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-23,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-24,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-27,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-28,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-29,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-03-31,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-03,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-05,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-06,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-10,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-11,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-12,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-13,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-17,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-18,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-19,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-20,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-21,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-24,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-25,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-26,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-27,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-04-28,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-02,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-03,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-04,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-05,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-08,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-09,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-10,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-11,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-12,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-15,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-16,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-17,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-18,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-19,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-22,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-23,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
2023-05-24,,0.9201,0.4899203479290008,0.7131388888888889,0.0895194524173998,0.8660693930255042,0.1686643495806031
